X1	Y1	Z1	T1	VX1	VY1	DEM_ID1	X2	Y2	Z2	T2	VX2	VY2	DEM_ID2
-803773.3003	932761.4964	71.256826	2021.046575	0	0	-1	-803776.988	932767.9726	72.359483	2021.046575	0	0	6
-767673.7706	963276.8417	68.88091	2021.068493	0	0	-1	-767676.9769	963279.5863	69.667195	2021.071233	0	0	10
-751785.3884	950724.1243	74.47909	2021.093151	0	0	-1	-751786.7116	950726.7116	86.288405	2021.093151	0	0	11
-764595.6585	975632.474	67.790375	2019.246575	0	0	-1	-764596.1977	975633.5212	78.60068	2021.093151	0	0	11
-774290.7659	994459.4565	64.697513	2021.093151	0	0	-1	-774289.1314	994456.2131	75.153697	2021.093151	0	0	11
-833088.8788	923997.0769	63.786062	2021.068493	0	0	-1	-833095.4435	924007.8294	64.156377	2021.071233	0	0	5
-848730.9148	949708.4926	56.689001	2021.068493	0	0	-1	-848731.3014	949709.1254	57.116327	2021.071233	0	0	5
-816147.6871	883415.6331	67.536601	2021.068493	0	0	-1	-816149.378	883418.4205	70.434065	2021.071233	0	0	3
-824543.5037	897225.6448	64.896256	2016.835616	0	0	-1	-824541.0409	897221.6469	67.89576	2017.010959	0	0	3
-715623.6365	966903.8829	70.228966	2021.731507	0	0	-1	-715624.4723	966905.6482	72.080367	2021.728767	0	0	15
-740778.7493	1020530.861	267.575867	2021.731507	0	0	-1	-740775.4402	1020523.756	269.41125	2021.728767	0	0	15
-729865.7787	1005042.324	269.018921	2021.731507	0	0	-1	-729871.8149	1005055.14	270.793467	2021.728767	0	0	15
-724676.8247	998438.1327	251.390945	2021.115068	0	0	-1	-724677.2258	998438.5106	253.114933	2021.728767	0	0	15
-708385.4505	967088.2152	77.211245	2021.731507	0	0	-1	-708386.6217	967090.7301	79.033492	2021.728767	0	0	15
-831928.7169	864250.9855	444.775543	2021.235616	0	0	-1	-831940.6465	864259.2758	448.6726	2021.19726	0	0	1
-831928.7169	864250.9855	444.775543	2021.235616	0	0	-1	-831925.8636	864249.0061	445.59245	2021.19726	0	0	2
-831606.4729	868895.9667	358.51767	2021.145205	0	0	-1	-831596.5273	868888.9672	359.27572	59.0013	0	0	2
-875321.7553	901293.6679	329.663208	2021.180822	0	0	-1	-875325.4167	901299.2066	333.4149	2021.19726	0	0	1
-881182.7539	899853.8543	438.161255	2021.10137	0	0	-1	-881178.6451	899847.7484	441.93875	2021.19726	0	0	1
