X1	Y1	Z1	T1	VX1	VY1	DEM_ID1	X2	Y2	Z2	T2	VX2	VY2	DEM_ID2
-852358.863	885000.3523	74.258555	2021.19726	0	0	1	-852350.5197	884991.7275	70.951465	2021.19726	0	0	2
-862605.0398	898791.5284	67.5665	2021.19726	0	0	1	-862605.0398	898791.5284	64.7927	2021.19726	0	0	2
-870280.1539	902680.3467	199.88532	2021.19726	0	0	1	-870280.1539	902680.3467	196.8838	2021.19726	0	0	2
-829033.1932	879886.9754	63.343	2021.19726	-254.866	203.526	2	-829008.4273	879858.1544	65.2075	2021.071233	-260.194	205.589	3
-835991.197	891035.3062	60.6544	2021.19726	-467.035	498	2	-835938.7467	890974.8996	62.432	2021.071233	-461.311	495.292	3
-852563.129	905054.9864	60.7302	2021.19726	-373.296	455.393	2	-852520.4375	905004.6531	62.0205	2021.071233	-374.066	453.729	3
-863599.7952	917829.7717	56.7502	2021.19726	-630.687	619.397	2	-863523.4951	917753.3367	58.2436	2021.071233	-629.63	618.544	3
-820699.9145	893482.9531	69.9953	2021.071233	-654.373	635.812	3	-820693.1907	893463.671	67.268	2021.043836	-655.047	636.329	4
-862684.9082	938716.6476	59.5156	2021.071233	-950.043	899.271	3	-862659.3337	938685.1588	55.632	2021.043836	-950.469	900.059	4
-835784.3208	912335.5506	68.6382	2021.071233	-708.831	817.463	3	-835773.0456	912303.1679	65.279	2021.043836	-707.849	817.526	4
-851628.0893	930375.0144	63.364	2021.071233	-854.308	879.663	3	-851607.5647	930345.4383	59.286	2021.043836	-855.726	879.815	4
-845706.7839	941183.4233	60.7909	2021.043836	-919.34	1013.27	4	-845733.2626	941217.4294	61.8455	2021.071233	-920.057	1013.83	5
-818335.5928	910204.8822	69.0198	2021.043836	-689.04	799.6	4	-818353.3586	910228.7126	69.3915	2021.071233	-687.51	799.27	5
-832824.3018	929061.6059	66.8593	2021.043836	-816	953.876	4	-832847.8331	929093.6134	67.873	2021.071233	-816	953.793	5
-859750.8318	957179.0724	54.7738	2021.043836	-1034.55	1112.46	4	-859769.5625	957207.8322	55.9122	2021.071233	-1034.08	1111.29	5
-843676.3875	955649.1755	59.4598	2021.071233	-954.254	1131.56	5	-843658.2025	955615.8093	60.7569	2021.046575	-956.061	1133.21	6
-833624.783	943145.5059	66.1158	2021.071233	-886.822	1054	5	-833606.7005	943124.1277	67.0785	2021.046575	-887.207	1054	6
-813506.3663	928116.8476	65.3417	2021.071233	-652.04	901.95	5	-813499.2027	928091.2669	66.4882	2021.046575	-651.133	901.756	6
-854917.2626	968466.9774	52.9818	2021.071233	-988.48	1215.55	5	-854903.3995	968449.8948	53.9339	2021.046575	-987.68	1218.13	6
-806270.6544	936166.3773	73.322392	2021.046575	-845.375	1043.38	6	-806343.7052	936256.486	72.002515	2021.142466	-845.824	1043.82	7
-821042.5631	951847.7028	68.707317	2021.046575	-856	1096.98	6	-821119.5806	951951.1248	67.8202	2021.142466	-849.393	1079.99	7
-813078.1476	942364.2024	71.457607	2021.046575	-845	1039	6	-813143.6604	942444.9741	70.22082	2021.142466	-852.627	1050.1	7
-794890.2857	945090.8118	69.583433	2021.142466	-835.161	1008.19	7	-794851.0214	945042.8293	71.68265	2021.090411	-828.136	1003.94	8
-792351.0328	941251.2055	68.540313	2021.142466	-625.38	810.106	7	-792320.5115	941211.6019	70.331133	2021.090411	-629.54	811.166	8
-785232.5494	931732.4438	71.505572	2021.142466	-650.188	785.556	7	-785200.828	931693.7947	72.975397	2021.090411	-657.473	795.582	8
-806055.7795	957586.1578	66.340175	2021.142466	-821.42	1062.28	7	-806020.3783	957540.2149	67.533443	2021.090411	-819.226	1062.49	8
-784809.6409	949533.9138	59.3623	2021.090411	0	0	8	-784805.0507	949525.0296	56.1856	2021.093151	0	0	9
-784325.9244	956316.6281	70.60445	2021.090411	0	0	8	-784325.9244	956316.6281	67.210557	2021.093151	0	0	9
-789785.9296	956724.6416	67.9023	2021.090411	0	0	8	-789783.5081	956721.4578	64.5641	2021.093151	0	0	9
-793046.0452	966971.7409	69.243263	2021.090411	0	0	8	-793048.3536	966975.0076	66.179265	2021.093151	0	0	9
-777003.2846	956575.6507	63.8718	2021.093151	-578.155	761.128	9	-776998.444	956569.2814	66.2402	2021.071233	-578.289	761.781	10
-780213.9984	958540.5019	64.0053	2021.093151	-648.456	837.931	9	-780206.6537	958531.0122	66.8183	2021.071233	-648.025	838.37	10
-783689.4708	964685.947	57.6101	2021.093151	-695.326	915.461	9	-783682.4058	964676.2473	60.935	2021.071233	-695.434	914.61	10
-790631.9806	969288.7484	65.0414	2021.093151	-732.627	996.013	9	-790631.9806	969288.7484	67.67346	2021.071233	-732.627	996.013	10
-755109.9593	948193.5755	73.714	2021.071233	-524.396	637	10	-755120.1282	948205.9283	84.1078	2021.093151	-525.376	637	11
-775230.0284	972277.3105	63.4848	2021.071233	-627.769	825.262	10	-775239.7135	972290.0462	73.631	2021.093151	-630.352	831.743	11
-778425.3326	975512.0244	66.629985	2021.071233	-662.167	894.378	10	-778426.5231	975513.6315	77.13408	2021.093151	-662.023	894.381	11
